USER           PID  PPID     VSZ    RSS WCHAN            ADDR S NAME                       
root             1     0 2285464    964 0                   0 S init
root             2     0       0      0 0                   0 S [kthreadd]
root             3     2       0      0 0                   0 I [rcu_gp]
root             4     2       0      0 0                   0 I [rcu_par_gp]
root             8     2       0      0 0                   0 I [mm_percpu_wq]
root             9     2       0      0 0                   0 S [ksoftirqd/0]
root            10     2       0      0 0                   0 I [rcu_preempt]
root            11     2       0      0 0                   0 I [rcu_sched]
root            12     2       0      0 0                   0 I [rcu_bh]
root            13     2       0      0 0                   0 S [rcuop/0]
root            14     2       0      0 0                   0 S [rcuos/0]
root            15     2       0      0 0                   0 S [rcuob/0]
root            16     2       0      0 0                   0 S [migration/0]
root            17     2       0      0 0                   0 S [cpuhp/0]
root            18     2       0      0 0                   0 S [cpuhp/1]
root            19     2       0      0 0                   0 S [migration/1]
root            20     2       0      0 0                   0 S [ksoftirqd/1]
root            23     2       0      0 0                   0 S [rcuop/1]
root            24     2       0      0 0                   0 S [rcuos/1]
root            25     2       0      0 0                   0 S [rcuob/1]
root            27     2       0      0 0                   0 S [cpuhp/2]
root            28     2       0      0 0                   0 S [migration/2]
root            29     2       0      0 0                   0 S [ksoftirqd/2]
root            32     2       0      0 0                   0 S [rcuop/2]
root            33     2       0      0 0                   0 S [rcuos/2]
root            34     2       0      0 0                   0 S [rcuob/2]
root            35     2       0      0 0                   0 S [cpuhp/3]
root            36     2       0      0 0                   0 S [migration/3]
root            37     2       0      0 0                   0 S [ksoftirqd/3]
root            40     2       0      0 0                   0 S [rcuop/3]
root            41     2       0      0 0                   0 S [rcuos/3]
root            42     2       0      0 0                   0 S [rcuob/3]
root            43     2       0      0 0                   0 S [cpuhp/4]
root            44     2       0      0 0                   0 S [migration/4]
root            45     2       0      0 0                   0 S [ksoftirqd/4]
root            48     2       0      0 0                   0 S [rcuop/4]
root            49     2       0      0 0                   0 S [rcuos/4]
root            50     2       0      0 0                   0 S [rcuob/4]
root            51     2       0      0 0                   0 S [cpuhp/5]
root            52     2       0      0 0                   0 S [migration/5]
root            53     2       0      0 0                   0 S [ksoftirqd/5]
root            56     2       0      0 0                   0 S [rcuop/5]
root            57     2       0      0 0                   0 S [rcuos/5]
root            58     2       0      0 0                   0 S [rcuob/5]
root            59     2       0      0 0                   0 S [cpuhp/6]
root            60     2       0      0 0                   0 S [migration/6]
root            61     2       0      0 0                   0 S [ksoftirqd/6]
root            64     2       0      0 0                   0 S [rcuop/6]
root            65     2       0      0 0                   0 S [rcuos/6]
root            66     2       0      0 0                   0 S [rcuob/6]
root            67     2       0      0 0                   0 S [cpuhp/7]
root            68     2       0      0 0                   0 S [migration/7]
root            69     2       0      0 0                   0 S [ksoftirqd/7]
root            72     2       0      0 0                   0 S [rcuop/7]
root            73     2       0      0 0                   0 S [rcuos/7]
root            74     2       0      0 0                   0 S [rcuob/7]
root            75     2       0      0 0                   0 I [netns]
root            76     2       0      0 0                   0 S [rcu_tasks_kthre]
root            77     2       0      0 0                   0 S [kauditd]
root            86     2       0      0 0                   0 I [ipa_usb_wq]
